,num_population,ess,D,rmse_mean,rmse_var,time_taken,bananicity,sampler_name,V,mmd,num_iter,norm_of_mean
2016-01-26_14:04:10,10,23.51612186920773,2,8.40723080474762,210.3017732035909,0.7880520820617676,0.1,AdaptiveLangevin,100,75659270.13003205,1000,8.40723080474762
2016-01-26_14:04:13,10,9.291760383519598,2,2.1222872114476696,104.80085668204659,0.3735368251800537,0.1,AdaptiveMetropolis,100,48664174.77661935,1000,2.1222872114476696
2016-01-26_14:07:07,10,8.683580545347606,2,8.714195394214025,213.82142349397859,0.6210119724273682,0.1,AdaptiveLangevin,100,77416703.97839516,1000,8.714195394214025
2016-01-26_14:07:10,10,33.10494337586769,2,8.90777569728346,216.88655395310158,0.5376269817352295,0.1,AdaptiveLangevin,100,77442365.53023644,1000,8.90777569728346
2016-01-26_14:07:13,10,59.51389216397386,2,8.913121694797287,216.52628026676857,0.5568270683288574,0.1,AdaptiveLangevin,100,77213877.28676957,1000,8.913121694797287
2016-01-26_14:07:16,10,49.41389682893146,2,9.137782689922076,217.81516772871845,0.5560169219970703,0.1,AdaptiveLangevin,100,78180192.1243245,1000,9.137782689922076
2016-01-26_14:07:19,10,70.45173855561325,2,8.955178826416994,217.6233188776154,0.5734431743621826,0.1,AdaptiveLangevin,100,77250112.58082671,1000,8.955178826416994
2016-01-26_14:07:22,10,41.19570400413091,2,8.892148268868684,216.39562505224976,0.5351109504699707,0.1,AdaptiveLangevin,100,77318646.21200304,1000,8.892148268868684
2016-01-26_14:07:26,10,42.370329589379686,2,8.644452467622079,214.27259420493723,0.5683650970458984,0.1,AdaptiveLangevin,100,76541376.02031071,1000,8.644452467622079
2016-01-26_14:07:29,10,53.820153904025965,2,8.788796645544105,216.6436763731405,0.8152370452880859,0.1,AdaptiveLangevin,100,76849116.42906666,1000,8.788796645544105
2016-01-26_14:07:33,10,24.17455432407452,2,8.232201308430584,212.0243652741204,0.6599171161651611,0.1,AdaptiveLangevin,100,75484973.4414384,1000,8.232201308430584
2016-01-26_14:07:36,10,13.887139422253066,2,8.19800277030374,210.7609440305495,0.6995410919189453,0.1,AdaptiveLangevin,100,75386218.27703755,1000,8.19800277030374
2016-01-26_14:07:40,10,5.254646317908622,2,8.085096585931923,210.39140023568424,0.7373120784759521,0.1,AdaptiveLangevin,100,75535347.19536227,1000,8.085096585931923
2016-01-26_14:07:43,10,15.976287099953845,2,8.010233027012418,207.84838851129413,0.6603009700775146,0.1,AdaptiveLangevin,100,74904565.95858258,1000,8.010233027012418
2016-01-26_14:08:19,10,12.992619766945555,2,17.171774415232132,210.36268895858657,0.33054304122924805,0.1,AdaptiveMetropolis,100,1155857196.356651,1000,17.171774415232132
2016-01-26_14:10:37,10,4.578742581926433,2,11.906623526172734,408.6585986821556,0.35018205642700195,0.1,AdaptiveMetropolis_step_size=5.0000,100,1856277806.5097964,1000,11.906623526172734
2016-01-26_14:12:47,10,41.207654256811296,2,6.3926222177298175,164.9414753241911,0.3232698440551758,0.1,AdaptiveMetropolis_step_size=5.0000,100,66563629.4498665,1000,6.3926222177298175
2016-01-26_14:13:12,10,12.470990159556225,2,5.03469453481788,569.6055865273295,0.3456571102142334,0.1,AdaptiveMetropolis_step_size=5.0000,100,6122308869.654564,1000,5.03469453481788
2016-01-26_14:14:50,10,73.6781529128731,2,7.605178586291323,204.33944410590885,0.5663449764251709,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=0.1",100,71264536.85403948,1000,7.605178586291323
2016-01-26_14:14:55,10,34.502848061808855,2,8.134142855233309,210.05418165846507,0.5277431011199951,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=0.1",100,73862642.15989676,1000,8.134142855233309
2016-01-26_14:15:22,10,21.893649617747684,2,8.125121235999844,213.46788123482239,0.6050798892974854,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=0.1",100,74960012.63798241,1000,8.125121235999844
2016-01-26_14:15:26,10,45.82173217352229,2,7.956456297153485,209.69246527499047,0.5373740196228027,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=0.1",100,73858301.48589233,1000,7.956456297153485
2016-01-26_14:16:22,10,8.789044973194938,2,8.95148936850784,215.61035596863098,0.5193419456481934,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,77857754.36814205,1000,8.95148936850784
2016-01-26_14:16:26,10,9.600234215129651,2,7.455908742826791,202.8039357693626,0.5578060150146484,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,74525858.8775634,1000,7.455908742826791
2016-01-26_14:18:23,10,109.85518298668468,2,8.884321507622749,216.00297840526608,1.6379280090332031,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,77316691.75990991,1000,8.884321507622749
2016-01-26_14:18:31,10,26.02750362788123,2,8.66845064693497,215.06846406711608,1.319356918334961,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,76426565.07332754,1000,8.66845064693497
2016-01-26_14:18:52,10,28.867046025274025,2,8.6868046783678,212.91252382373264,0.780933141708374,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,77326316.06246665,1000,8.6868046783678
2016-01-26_14:19:04,10,36.22811187872419,2,9.02614394035635,216.9102030952317,1.4765231609344482,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=1.0",100,77842097.70259278,1000,9.02614394035635
2016-01-26_14:21:00,10,16.638209230458827,2,8.135642895830791e+54,2.2013804580216692e+111,0.8543939590454102,0.1,"AdaptiveMetropolis,step_size=500.0000",100,,1000,8.135642895830791e+54
2016-01-28_14:49:22,10,4.604149665165153,2,5610940.664298992,212426979773533.9,0.41422295570373535,0.1,"AdaptiveMetropolis,step_size=500.0000",100,1.1686381851847564e+44,1000,5610940.664298992
2016-01-28_14:49:47,10,4.529273725348505,2,15656.84186429794,1199135448.3237743,0.23935317993164065,0.1,"AdaptiveMetropolis,step_size=500.0000",100,2.3487387672767583e+28,1000,15656.84186429794
2016-01-28_16:31:07,10,6.558096910354156,2,398.62251298032515,166733.83086189494,0.2650108337402344,0.1,"AdaptiveMetropolis,step_size=500.0000",100,9.459504967154832e+16,1000,398.62251298032515
2016-01-28_16:31:18,10,9.588058738393432,2,63.12167687926739,30377.916969425194,0.23369812965393064,0.1,"AdaptiveMetropolis,step_size=500.0000",100,228620539176875.7,1000,63.12167687926739
2016-01-29_16:43:17,10,40.862417063909966,2,25.38295844234109,5291.861599251044,0.2709600925445557,0.1,"AdaptiveMetropolis,step_size=500.0000",100,614218353081.4911,1000,25.38295844234109
2016-01-29_16:43:47,10,9.81635438746768,2,8.425682928260615,964.1309517683814,0.2719719409942627,0.1,"AdaptiveMetropolis,step_size=500.0000",100,1868735807.275354,1000,8.425682928260615
2016-01-29_16:53:15,10,151.96770774432957,2,8.814748195957607,215.6737873985912,0.7564110755920409,0.1,"AdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=None",100,77302015.9747532,1000,8.814748195957607
2016-01-29_16:53:56,10,34.22702552789748,2,7.606227718536896,204.20477536023554,1.9404008388519287,0.1,"OracleKernelAdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=None",100,74120007.30967371,1000,7.606227718536896
2016-01-29_16:54:07,10,64.22014620869653,2,7.351316093957948,206.11255465428283,2.0808789730072017,0.1,"OracleKernelAdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=None",100,74380957.81190705,1000,7.351316093957948
2016-01-29_16:55:16,10,21.779799409539844,2,7.410953236005305,201.5845589484753,5.67377781867981,0.1,"KernelAdaptiveLangevin,step_size=1.0000,manual_gradient_step_size=None",100,73278272.03058244,1000,7.410953236005305
